Id|AirlineCode|AirlineName
776|SK|SAS SCANDINAVIAN AIRLINES
777|SL|RIO-SUL SERVICOS AEREOS REGIONAIS
778|SM|SPIRIT OF MANILA AIRLINES
779|SN|BRUSSELS AIRLINES
780|SO|SALSA D HAITI
781|SP|SATA AIR ACORES
782|SQ|SINGAPORE AIRLINES
783|SR|SWISS AIR TRANSPORT COMPANY LTD.
784|SS|CORSAIR
785|ST|GERMANIA EXPRESS
786|SU|AEROFLOT RUSSIAN AIRLINES
787|SV|SAUDI ARABIAN AIRLINES
788|SW|AIR NAMIBIA
789|SX|SKY WORK AIRLINES
790|SY|SUN COUNTRY AIRLINES
791|SZ|CHINA SOUTHWEST AIRLINES
792|T0|TACA PERU
793|T1|TRANS AIR CONGO
794|T2|NAKINA AIR SERVICE
795|T3|EASTERN AIRWAYS
796|T4|TRIP LINHAS AÉREAS
797|T5|TURKMENISTAN
798|T6|1TIME
799|T7|TWIN JET
800|T8|STA AIRLINES
801|TA|TACA INTERNATIONAL
802|TB|TRUMP SHUTTLE
803|TC|AIR TANZANIA
804|TD|ATLANTIS EUROPEAN AIRWAYS
805|TE|FLYLAL-LITHUANIAN AIRLINES
806|TF|MALMO AVIATION
807|TG|THAI AIRWAYS
808|TH|BRITISH AIRWAYS CITIEXPRESS
809|TI|AIR CONTINENTAL AFRICA
810|TJ|TRADEWIND AVIATION
811|TK|TURKISH AIRLINES
812|TL|AIRNORTH REGIONAL
813|TM|LAM
814|TN|AIR TAHITI NUI
815|TO|PRESIDENT AIRLINES
816|TP|TAP AIR
817|TQ|TRANSWEDE AIRWAYS A.B.
818|TR|TIGER AIRWAYS
819|TS|AIR TRANSAT
820|TT|TIGER AIRWAYS AUSTRALIA
821|TU|TUNIS AIR
822|TV|VIRGIN EXPRESS
823|TW|TRANS WORLD AIRLINES
824|TX|AIR CARAIBES
825|TY|AIR CALEDONIE
826|TZ|SCOOT PTE. LTD
827|U2|EASYJET
828|U3|AVIES
829|U4|BUDDHA AIR
830|U5|USA 3000 AIRLINES
831|U6|URAL AIRLINES
832|U7|AIR UGANDA
833|U8|ARMAVIA
834|U9|TATARSTAN AIRLINES
835|UA|UNITED AIRLINES
836|UB|MYANMA AIRWAYS
837|UC|AEROVIAS DAP
838|UD|HEX'AIR
839|UE|AIR EUROAMERICA S.A.
840|UF|UKRAINIAN MEDITERRANEAN AIRLINES
841|UG|TUNINTER
842|UH|US HELICOPTER
843|UI|EUROCYPRIA AIRLINES
844|UJ|USA JET AIRLINES
845|UK|KLM UK LTD
846|UL|SRILANKAN AIRLINES
847|UM|AIR ZIMBABWE
848|UN|TRANSAERO AIRLINES
849|UO|HONG KONG EXPRESS AIRWAYS
850|UP|BAHAMASAIR
851|UQ|SKYJET AIRLINES
852|US|US AIRWAYS
853|UT|UTAIR
854|UU|AIR AUSTRAL
855|UV|HELICOPTEROS DEL SURESTE
856|UW|UNIVERSAL AIRLINES
857|UX|AIR EUROPA LINEAS AEREAS
858|UY|CAMEROON AIRLINES
859|UZ|BURAQ AIR
860|V0|CONVIASA
861|V2|VISION AIRLINES
862|V3|CARPATAIR
863|V4|VIEQUES AIR
864|V5|ROYAL ARUBAN AIRLINES
865|V6|VIP ECUADOR
866|V7|AIR SENEGAL INTERNATIONAL
867|V8|ILIAMNA AIR
868|VA|V AUSTRALIA
869|VB|AEROENLACES NACIONALES
870|VC|AIR AUSTRALIA
871|VD|SWEDJET AIRWAYS AB
872|VE|VOLARE AIRLINES
873|VF|VALUAIR
874|VG|VLM AIRLINES
875|VH|AEROPOSTAL ALAS DE VENEZUELA
876|VI|VOLGA-DNEPR AIRLINES
877|VJ|VIETJET AVIATION
878|VK|VIRGIN NIGERIA AIRWAYS
879|VL|SONICBLUE AIRWAYS
880|VM|VIAGGIO AIR
881|VN|VIETNAM AIRLINES
882|VO|TYROLEAN AIRWAYS
883|VP|VASP AIRLINES
884|VQ|VINTAGE PROPS & JETS
885|VR|TACV
886|VS|VIRGIN ATLANTIC AIRWAYS
887|VT|AIR TAHITI
888|VU|AIR IVOIRE
889|VV|AEROSVIT AIRLINES
890|VW|AEROMAR
891|VX|VIRGIN AMERICA
892|VY|VUELING AIRLINES
893|VZ|VELVET SKY
894|W2|FLEXFLIGHT
895|W3|ARIK AIR
896|W4|LC BUSRE
897|W5| MAHAN AIRLINES
898|W6|WIZZAIR
899|W7|SAYAKHAT AIRLINES
900|W9|AIR BAGAN
901|WA|KLM CITYHOPPER
902|WB|RWANDAIR EXPRESS
903|WC|ISLENA AIRLINES
904|WD|DAIRO AIR SERVICE
905|WE|CHALLENGE AIR CARGO
906|WF|WIDEROE
907|WG|SUNWING AIRLINES
908|WH|WEBJET LINHAS AÉREAS
909|WJ|AIR LABRADOR
910|WK|EDELWEISS AIR
911|WL|AEROPERLAS
912|WM|WINAIR
913|WN|SOUTHWEST AIRLINES
914|WO|WORLD AIRWAYS
915|WP|ALOHA ISLAND AIR
916|WQ|ROMAVIA
917|WR|ROYAL TONGAN AIRLINES
918|WS|WESTJET
919|WT|WASAYA AIRWAYS
920|WU|TIKAL JETS
921|WV|WINGS AIR
922|WW|BMIBABY
923|WX|CITYJET
924|WY|OMAN AIR
925|WZ|WEST AFRICAN AIRLINES
926|X3|TUIFLY
927|X8|ICARO AIR
928|XC|K.D. AIR
929|XD|FREEBIRD AIRLINES
930|XE|EXPRESSJET AIRLINES
931|XF|VLADIVOSTOK AIR
932|XG|CLICKAIR
933|XH|SPECIAL SERVICES
934|XJ|MESABA AIRLINES
935|XK|CCM
936|XL|LAN ECUADOR
937|XM|AUSTRALIAN AIR EXPRESS
938|XN|XPRESSAIR
939|XP|XTRA AIRWAYS
940|XQ|SUN EXPRESS
941|XR|SKYWEST AIRLINES
942|XT|SKYSTAR AIRWAYS
943|XU|AFRICAN EXPRESS AIRWAYS
944|XV|BVI AIRWAYS
945|XW|SKYEXPRESS
946|XY|NATIONAL AIR SERVICES
947|XZ|SOUTH AFRICAN EXPRESS
948|Y0|YELLOW AIR TAXI
949|Y2|FLYGLOBESPAN
950|Y4|VOLARIS
951|Y6|BATAVIA AIR
952|Y7|TAIMYR AIRLINES
953|Y8|PASSAREDO TRANSPORTES AÉREOS
954|Y9|KISH AIR
955|YB|SOUTH AFRICAN EXPRESS
956|YC|YAMAL AIRLINES
957|YD|MAURITANIA AIRWAYS
958|YE|YANDA AIRLINES
959|YG|SOUTH AIRLINES
960|YH|YANGON AIRWAYS
961|YI|AIR SUNSHINE
962|YK|CYPRUS TURKISH AIRLINES
963|YL|YAMAL AIRLINES
964|YM|MONTENEGRO AIRLINES
965|YN|AIR CREEBEC
966|YO|HELI AIR MONACO
967|YP|AERO LLOYD FLUGREISEN
968|YQ|POLET AIRLINES
969|YR|SCENIC AIRLINES
970|YS|RÉGIONAL
971|YT|YETI AIRLINES
972|YU|AEROLINEAS DOMINICANAS S.A. (DOMINAIR)
973|YV|MESA AIRLINES
974|YW|AIR NOSTRUM
975|YX|MIDWEST AIRLINES
976|YZ|TRANSPORTES AEREOS DA GUINE-BISSAU
977|Z2|ZEST AIRWAYS
978|Z3|PROMECH AIRLINES
979|Z4|ZOOM AIRLINES
980|Z5|GMG AIRLINES
981|Z6|DNIEPROAVIA
982|Z7|ADC AIRLINES
983|Z8|AMASZONAS SA
984|Z9|AERO ZAMBIA
985|ZA|ZAS AIRLINE OF EGYPT
986|ZB|MONARCH AIRLINES
987|ZC|ROYAL SWAZI NATIONAL AIRWAYS
988|ZD|DOLPHIN AIR
989|ZE|EASTAR JET
990|ZF|ATHENS AIRWAYS
991|ZH|SHENZHEN AIRLINES
992|ZI|AIGLE AZUR
993|ZJ|ZAMBEZI AIRLINES
994|ZK|GREAT LAKES AVIATION
995|ZL|REGIONAL EXPRESS
996|ZM|ALLIANCE EXPRESS RWANDA
997|ZN|NAYSA
998|ZP|AIR ST. THOMAS
999|ZQ|CARIBBEAN SUN AIRLINES
1000|ZR|AVIACON CITOTRANS
1001|ZS|SAMA AIRLINES
1002|ZT|TITAN AIRWAYS
1003|ZU|AIR BASHKORTOSTAN
1004|ZV|AIR MIDWEST
1005|ZW|AIR WISCONSIN
1006|ZX|AIR ALLIANCE
1007|ZY|ADA AIR
