Id|AirlineCode|AirlineName
182|9V|AVIOR AIRLINES
183|9W|JET AIRWAYS (INDIA)
184|9X|NEW AXIS AIRWAYS
185|A0|L'AVION
186|A2|ASTRA AIRLINES
187|A3|AEGEAN AIRLINES
188|A4|AEROCON
189|A5|AIRLINAIR
190|A6|AIR ALPS AVIATION
191|A7|AIR COMET SA
192|A8|BENIN GOLF AIR
193|A9|GEORGIAN AIRWAYS
194|AA|AMERICAN AIRLINES
195|AB|AIR BERLIN
196|AC|AIR CANADA
197|AD|AZUL LINHAS AÉREAS BRASILEIRAS
198|AE|MANDARIN AIRLINES
199|AF|AIR FRANCE
200|AG|AIR CONTRACTORS UK
201|AH|AIR ALGERIE
202|AI|AIR INDIA
203|AJ|AERO CONTRACTORS
204|AK|AIRASIA BERHAD
205|AM|AEROMÉXICO
206|AN|ANSETT AUSTRALIA
207|AO|AVIANOVA LCC
208|AP|AIR ONE
209|AQ|ALOHA AIRLINES
210|AR|AEROLINEAS ARGENTINAS S.A.
211|AS|ALASKA AIRLINES
212|AT|ROYAL AIR MAROC
213|AU|AUSTRAL LINEAS AÉREAS
214|AV|AVIANCA
215|AW|DIRGANTARA AIR SERVICES
216|AX|TRANS STATES AIRLINES
217|AY|FINNAIR
218|AZ|ALITALIA LINEE AEREE ITALIANE
219|B2|BELAVIA - BELARUSIAN AIRLINES
220|B3|BELLVIEW AIRLINES
221|B4|ZANAIR
222|B5|EAST AFRICAN SAFARI AIR
223|B6|JETBLUE AIRWAYS
224|B7|UNI AIRWAYS
225|B8|ERITREAN AIRLINES
226|B9|IRAN AIR TOURS
227|BA|BRITISH AIRWAYS
228|BB|SEABORNES AIRLINES
229|BC|SKYMARK AIRLINES
230|BD|BMI BRITISH MIDLAND
231|BE|FLYBE
232|BF|VINCENT AVIATION
233|BG|BIMAN BANGLADESH AIRLINES
234|BH|HAWKAIR AVIATION
235|BI|ROYAL BRUNEI AIRLINES
236|BJ|NOUVELAIR TUNISIE
237|BK|POTOMAC AIR/US AIRWAYS EXPRESS
238|BL|JETSTAR PACIFIC AIRLINES
239|BM|BAYU INDONESIA
240|BN|BAHRAIN AIR
241|BO|BOURAQ AIRLINES
242|BP|AIR BOTSWANA
243|BQ|AEROMAR C. POR. A.
244|BR|EVA AIRWAYS
245|BS|BRITISH INTERNATIONAL HELICOPTERS
246|BT|AIR BALTIC
247|BU|SAS NORGE
248|BV|BLU-EXPRESS
249|BW|CARIBBEAN AIRWAYS
250|BX|AIR BUSAN
251|BY|THOMSONFLY
252|BZ|BLUE BIRD AVIATION
253|C0|CENTRALWINGS
254|C2|AIR LUXOR STP
255|C3|CONTACT AIR
256|C4|ZIMEX AVIATION
257|C5|COMMUTAIR
258|C6|CANJET AIRLINES
259|C7|RICO LINHAS AEREAS
260|C8|CHICAGO EXPRESS AIRLINES
261|C9|CIRRUS AIRLINES
262|CA|AIR CHINA
263|CB|SCOTAIRWAYS
264|CC|MACAIR AIRLINES
265|CD|ALLIANCE AIR
266|CE|CHALAIR AVIATION
267|CF|CITY AIRLINE
268|CG|AIRLINES OF PAPUA NEW GUINEA
269|CH|BEMIDJI AIRLINES
270|CI|CHINA AIRLINES
271|CJ|BA CITYFLYER
272|CK|ANDESMAR LINEAS AEREAS
273|CL|LUFTHANSA CITYLINE
274|CM|COPA
275|CN|GRAND CHINA AIR
276|CO|CONTINENTAL AIRLINES
277|CP|COMPASS AIRLINES (NORTH AMERICA)
278|CQ|CZECH CONNECT AIRLINES
279|CS|CONTINENTAL MICRONESIA
280|CT|ALITALIA CITYLINER SPA
281|CU|CUBANA DE AVIACION
282|CV|AIR CHATHAMS
283|CW|AIR MARSHALL ISLANDS
284|CX|CATHAY PACIFIC AIRWAYS
285|CY|CYPRUS AIRWAYS
286|CZ|CHINA SOUTHERN AIRLINES
287|D1|DIRECT AIR & TOURS
288|D2|SEVERSTAL AIRCOMPANY
289|D3|DAALLO AIRLINES
290|D4|ALIDAUNIA
291|D5|NEPC AIRLINES (A DIVISION OFNEPC MICON L
292|D6|INTERAIR SOUTH AFRICA
293|D7|AIR ASIA X
294|D8|DJIBOUTI AIRLINES
295|D9|DONAVIA
296|DA|AIR GEORGIA
297|DB|BRIT AIR
298|DC|GOLDEN AIR
299|DD|NOK AIR
300|DE|CONDOR
301|DF|AEROLINEAS DE BALEARES
302|DG|SOUTH EAST ASIAN AIRLINES
303|DH|VOSTOK AIRLINES
304|DI|DIVI DIVI AIR
305|DJ|VIRGIN BLUE
306|DK|EASTLAND AIR
307|DL|DELTA AIR LINES
308|DM|STERLING BLUE
309|DN|SÉNÉGAL AIRLINES
310|DO|AIR VALLEE
311|DP|FIRST CHOICE
312|DQ|COASTAL AIR TRANSPORT
313|DR|AIR LINK
314|DS|EASYJET SWITZERLAND
315|DT|TAAG
316|DU|HEMUS AIR
317|DV|SCAT
318|DW|AERO-CHARTER UKRAINE
319|DX|DANISH AIR TRANSPORT
320|DY|NORWEGIAN AIR SHUTTLE
321|E3|DOMODEDOVO AIRLINES
322|E4|ELYSIAN AIRLINES
323|E5|AIR ARABIA EGYPT
324|E6|AVIAEXPRESSCRUISE AIRLINE
325|E8|U.S. AFRICA AIRWAYS
326|E9|BOSTON MAINE AIRWAYS
327|EA|EUROPEAN AIR EXPRESS
328|EB|AIR PULLMANTUR
329|EC|AVIALEASING AVIATION COMPANY
330|ED|AIR DOMINICANA
331|EE|AERO AIRLINES A.S
332|EF|STRATEGIC AIRLINES
333|EG|ENERJET
334|EH|AIR NIPPON NETWORK
335|EI|AER LINGUS IRISH AIRLINES
336|EJ|NEW ENGLAND AIRLINES
337|EK|EMIRATES
338|EL|AIR NIPPON
339|EM|AERO BENIN
340|EN|AIR DOLOMITI
341|EO|HEWA BORA AIRWAYS
342|EP|IRAN ASEMAN AIRLINES
343|EQ|TAME
344|ER|DHL AIRWAYS
345|ET|ETHIOPIAN AIRLINES
346|EU|UNITED EAGLE AIRLINES
347|EV|ATLANTIC SOUTHEAST AIRLINES
348|EW|EUROWINGS
349|EX|AIR SANTO DOMINGO
350|EY|ETIHAD AIRWAYS
351|EZ|SUN AIR OF SCANDINAVIA
352|F4|ALBARKA AIR SERVICES
353|F5|COSMIC AIR
354|F6|FIRST CAMBODIA AIRLINES
355|F7|DARWIN AIRLINE SA
356|F8|FREEDOM AIRLINES
357|F9|FRONTIER AIRLINES
358|FA|AIRLINK AIRWAYS LIMITED
359|FB|BULGARIA AIR
360|FC|FINNCOMM AIRLINES
361|FD|THAI AIRASIA
362|FF|TOWER AIR
363|FG|ARIANA AFGHAN AIRLINES
364|FH|FUTURA INTERNATIONAL AIRLINES
365|FI|ICELANDAIR
366|FJ|AIR PACIFIC
367|FK|KEEWATIN AIR
368|FL|AIRTRAN AIRWAYS
369|FM|SHANGHAI AIRLINES
370|FN|REGIONAL AIR LINES
371|FO|FELIX AIRWAYS
372|FP|FREEDOM AIR (GUAM)
373|FQ|BRINDABELLA AIRLINES
374|FR|RYANAIR
375|FS|ITALI AIRLINES
376|FT|SIEM REAP AIRWAYS INTERNATIONAL
377|FU|AIR LITTORAL
378|FV|ROSSIYA AIRLINES
379|FW|IBEX AIRLINES CO. LTD
380|FX|FEDEX AIRLINES
381|FY|FIREFLY
382|FZ|FLYDUBAI
383|G1|TRANS-AIR-LINK
384|G3|GOL TRANSPORTES AEREOS
385|G4|ALLEGIANT AIR
386|G5|CHINA EXPRESS AIRLINES
387|G6|ANGKOR AIRWAYS
388|G7|GOJET AIRLINES
389|G8|GO AIR
390|G9|AIR ARABIA
391|GA|GARUDA INDONESIA
392|GB|ABX AIR
393|GC|GAMBIA INTERNATIONAL AIRLINES
394|GD|TAESA AIRLINES
395|GE|TRANSASIA AIRWAYS
396|GF|GULF AIR
397|GH|GLOBUS AIRLINES
398|GI|AIR COMPANY ITEK-AIR LTD
399|GJ|EUROFLY
400|GK|JETSTAR JAPAN
401|GL|AIR GREENLAND
402|GM|AIR SLOVAKIA
403|GN|AIR GABON
404|GP|PANTANAL LINHAS AEREAS
405|GQ|BIG SKY AIRLINES
406|GR|AURIGNY AIR SERVICES
407|GS|TIANJIN AIRLINES
408|GT|GB AIRWAYS LTD.
409|GU|AVIATECA
410|GV|GRANT AVIATION
411|GW|AIR LINES OF KUBAN
412|GX|PRIMERA AIR
413|GY|GABON AIRLINES
414|GZ|AIR RAROTONGA
415|H2|SKY AIRLINE
416|H3|HARBOUR AIR
417|H4|HELI SECURITE
418|H5|MAGADAN AIRLINES
419|H6|HAGELAND AVIATION
420|H7|EAGLE AIR
421|H8|DALAVIA FAR EAST AIRWAYS
422|HA|HAWAIIAN AIRLINES
423|HC|LIP AIR LTD
424|HD|HOKKAIDO INTERNATIONAL AIRLINES/AIR DO
425|HE|LUFTFAHRTGESELLSCHAFT WALTER
426|HF|HAPAG LLOYD FLUGGESELLSCHAFT
427|HG|NIKI
428|HH|AIR HAMBURG
429|HI|PAPILLON AIRWAYS
430|HK|YANGON AIRWAYS LIMITED
431|HM|AIR SEYCHELLES
432|HN|NLM CITYHOPPER B.V.
433|HO|JUNEYAO AIRLINES
434|HP|AMERICA WEST AIRLINES
435|HQ|HARMONY AIRWAYS
436|HR|HAHN AIR LINES
437|HS|DIREKTFLYG
438|HT|HELLENIC IMPERIAL AIRWAYS
439|HU|HAINAN AIRLINES
440|HV|TRANSAVIA AIRLINES
441|HW|NORTH-WRIGHT AIRWAYS
442|HX|HONG KONG AIRLINES
443|HY|UZBEKISTAN AIRWAYS
444|HZ|SAT SAKHALIN AIRLINES
445|I4|INTERNATIONAL AIRLINK
446|I5|SOCIETE NOUVELLE AIR MALI
447|I7|PARAMOUNT AIRWAYS
448|I8|ABORIGINAL AIR SERVICES
449|I9|AIR ITALY S.P.A
450|IA|IRAQI AIRWAYS
451|IB|IBERIA
452|IC|INDIAN AIRLINES
453|IE|SOLOMON AIRLINES
454|IF|ISLAS AIRWAYS
455|IG|MERIDIANA
456|IH|IRTYSH AIR
457|II|BUSINESS AIR LTD.
458|IJ|T.A.T. EUROPEAN AIRLINES
459|IK|IMAIR AIRLINE
460|IM|MINT AIRWAYS
461|IN|MACEDONIAN AIRLINES
462|IQ|AUGSBURG AIRWAYS
463|IR|IRAN AIR
464|IS|ISLAND AIRLINES
465|IT|KINGFISHER AIRLINES
466|IV|WIND JET
467|IW|WINGS AIR
468|IX|AIR INDIA EXPRESS
469|IY|YEMENIA YEMEN AIRWAYS
470|IZ|ARKIA-ISRAELI AIRLINES
471|J0|JETLINK EXPRESS
472|J2|AZERBAIJAN AIRLINES
473|J3|NORTHWESTERN AIR LEASE
474|J4|WONDAIR AVIATION S.L
475|J5|ALASKA SEAPLANE SERVICE
476|J6|LARRY'S FLYING SERVICE
477|J7|JMC AIRLINES LTD
478|J8|BERJAYA AIR
479|J9|JAZEERA AIRWAYS
480|JA|B&H AIRLINES
481|JB|HELIJET INTERNATIONAL
482|JC|JAL EXPRESS
483|JD|DEER AIR
484|JE|MANGO
485|JF|L.A.B. FLYING SERVICE
486|JH|FUJI DREAM AIRLINES
487|JI|EASTERN CARIBBEAN AIR
488|JJ|TAM LINHAS AEREAS
489|JK|SPANAIR
490|JL|JAPAN AIRLINES
491|JM|AIR JAMAICA
492|JN|EXCEL AIRWAYS
493|JO|JALWAYS
494|JP|ADRIA AIRWAYS
495|JQ|JETSTAR AIRWAYS
496|JR|AERO CALIFORNIA
497|JS|AIR KORYO
498|JT|LION AIR
499|JU|JAT AIRWAYS
500|JV|BEARSKIN AIRLINES
501|JW|AIRASIA JAPAN CO LTD
502|JX|NICE HELICOPTERES
503|JY|AIR TURKS AND CAICOS
504|JZ|SKYWAYS
505|K2|EUROLOT
506|K3|TAQUAN AIR SERVICES
507|K4|KALITTA AIR
508|K5|WINGS OF ALASKA
509|K6|CAMBODIA ANGKOR AIR
510|K7|ARIZONA EXPRESS AIRLINES
511|K8|ZAMBIA SKYWAYS
512|K9|KALITTA CHARTERS
513|KA|DRAGONAIR
514|KB|DRUK AIR
515|KC|AIR ASTANA
516|KD|KENDELL AIRLINES
517|KE|KOREAN AIR
518|KF|BLUE1
519|KG|AEROGAVIOTA
520|KI|ADAM AIR
521|KJ|BRITISH MEDITARRANEAN AIRWAYS LTD.
522|KK|ATLASJET
523|KL|KLM
524|KM|AIR MALTA
525|KN|CHINA UNITED AIRLINES
526|KO|YUTANA AIRLINES
527|KP|KIWI INTL. AIR LINES
528|KQ|KENYA AIRWAYS
529|KR|COMORES AVIATION
530|KS|PENAIR
531|KU|KUWAIT AIRWAYS
532|KV|KAVMINVODYAVIA
533|KW|WATANIYA AIRWAYS
534|KX|CAYMAN AIRWAYS
535|KY|KUNMING AIRLINES
536|KZ|NIPPON CARGO AIRLINES
537|L3|LYNX AVIATION
538|L5|CHC HELIKOPTER SERVICE
539|L6|MAURITANIAN AIRLINES INT
540|L7|LAOAG INTL AIRLINES
541|L8|WORLDWIDE AIRLINES SERVICES
542|LA|LAN CHILE
543|LB|LLOYD AÉREO BOLIVIANO
544|LC|LOGANAIR
545|LD|LINEA TURISTICA AEREOTUY
546|LE|HELGOLAND AIRLINES
547|LF|NORWEGIAN.SE
548|LG|LUXAIR
549|LH|DEUTSCHE LUFTHANSA
550|LI|LIAT
551|LJ|JIN AIR LTD
552|LK|AIR LUXOR S.A
553|LL|MIAMI AIR INTERNATIONAL
554|LM|LIVINGSTON SPA
555|LN|LIBYAN ARAB AIRLINES
556|LO|LOT POLISH AIRLINES
557|lp|LAN PERU
558|LR|LINEAS AEREAS COSTARRICENSES S.A.
559|LS|JET2.COM
560|LT|LTU
561|LU|LAN EXPRESS
562|LV|ALBANIAN AIRLINES
563|LW|PACIFIC WINGS
564|LX|SWISS INTERNATIONAL AIR LINES
565|LY|EL AL ISRAEL AIRLINES
566|LZ|BELLE AIR COMPANY
567|M0|AMIRI FLIGHT
568|M3|NORTH FLYING AS
569|M4|NAYZAK AIR TRANSPORT
570|M5|KENMORE AIR
571|M6|CHALAIR
572|M7|MARSLAND AVIATION
573|M8|TRANS MALDIVIAN AIRWAYS
574|M9|MOTOR SICH AVIAKOMPANIA
575|MA|MALEV HUNGARIAN AIRLINES
576|MC|AIR MOBILITY COMMAND
577|MD|AIR MADAGASCAR
578|ME|MIDDLE EAST AIRLINES
579|MF|XIAMEN AIRLINES
580|MH|MALAYSIA AIRLINES
581|MI|SILK AIR
582|MJ|MIHIN LANKA
583|MK|AIR MAURITIUS
584|ML|AERO COSTA RICA ACORI S.A.
585|MM|EUROATLANTIC AIRWAYS
586|MN|COMAIR LTD
587|MO|CALM AIR INTL LTD
588|MP|MARTINAIR
589|MQ|AMERICAN EAGLE AIRLINES
590|MR|AIR MAURITANIE
591|MS|EGYPTAIR
592|MT|THOMAS COOK AIRLINES UK
593|MU|CHINA EASTERN AIRLINES
594|MV|ARMENIAN INTL AIRWAYS
595|MW|MOKULELE AIRLINES
596|MX|MEXICANA DE AVIACION
597|MY|MAYA ISLAND AIR
598|MZ|MERPATI NUSANTARA AIRLINES
599|N2|DAGESTAN AIRLINES
600|N3|OMSKAVIA
601|N4|MINERVA AIRLINES
602|N5|NORFOLK AIR
603|N7|LAGUN AIR
604|N8|NATIONAL AIRLINES
605|N9|NIGER AIR CONTINENTAL
606|NA|NORTH AMERICAN AIRLINES
607|NB|STERLING EUROPEAN
608|NC|NATIONAL JET SYSTEMS
609|ND|AIRLINK PTY LTD.
610|NE|SKY EUROPE AIRLINES
611|NF|AIR VANUATU
612|NG|LAUDA AIR
613|NH|ANA ALL NIPPON AIRWAYS
614|NI|PGA-PORTUGÁLIA AIRLINES
615|NJ|AERO VIP (ARGENTINA)
616|NK|SPIRIT AIRLINES
617|NL|SHAHEEN AIR INTERNATIONAL
618|NM|MANX2
619|NN|VIM AIRLINES
620|NO|AUS AIR
621|NP|NILE AIR
622|NQ|AIR JAPAN
623|NR|MAX AIR LIMITED
624|NS|CAUCASUS AIRLINES
625|NT|BINTER CANARIAS
626|NU|JAPAN TRANSOCEAN AIR
627|NV|AIR CENTRAL
628|NW|NORTHWEST AIRLINES
629|NX|AIR MACAU
630|NY|AIR ICELAND
631|NZ|AIR NEW ZEALAND
632|O2|JET AIR
633|O4|ANTRAK AIR
634|O5|COMORES AVIATION
635|O6|OCEANAIR
636|O8|OASIS HONG KONG AIRLINES
637|O9|NOVA AIRWAYS
638|OA|OLYMPIC AIR
639|OB|BOLIVIANA DE AVIACION
640|OC|ORIENTAL AIR
641|OD|TOR AIR
642|OE|WESTAIR COMMUTER AIRLINES
643|OF|AIR FINLAND
644|OG|ONE-TWO-GO AIRLINES
645|OH|COMAIR
646|OI|PRESTIGE AIRWAYS
647|OJ|OVERLAND AIRWAYS
648|OK|CSA CZECH AIRLINES
649|OL|OLT
650|OM|MIAT-MONGOLIAN AIRLINES
651|ON|OUR AIRLINE
652|OO|SKYWEST AIRLINES
653|OP|OLYMPIC AIRLINES
654|OQ|QUEEN AIR
655|OR|TUI AIRLINES NETHERLAND
656|OS|AUSTRIAN AIRLINES
657|OT|AEROPELICAN AIR SERVICES
658|OU|CROATIA AIRLINES
659|OV|ESTONIAN AIR
660|OX|ORIENT THAI AIRLINES
661|OY|ANDES LÍNEAS AÉREAS
662|OZ|ASIANA AIRLINES
663|P0|PROFLIGHT COMMUTER SERVICES
664|P2|PANAIR
665|P4|AEROLINEAS SOSA
666|P5|AEROREPUBLICA S. A.
667|P6|AIR EXPRESSO
668|P7|REGIONAL PARAGUAYA
669|P8|AIR MEKONG
670|P9|PERUVIAN AIR LINES
671|PA|FLORIDA COASTAL AIRLINES
672|PB|PROVINCIAL AIRLINES
673|PC|PEGASUS AIRLINES
674|PD|PORTER AIRLINES
675|PE|AIR EUROPE
676|PF|PALESTINIAN AIRLINES
677|PG|BANGKOK AIRWAYS
678|PH|POLYNESIAN
679|PI| SOL PARAGUAY
680|PJ|AIR ST. PIERRE
681|PK|PAKISTAN INTERNATIONAL AIRLINES
682|PL|SOUTHERN AIR CHARTER
683|PM|PAMIR AIRWAYS
684|PN|WEST AIR
685|PO|PEOPLES VIENNA LINE
686|PQ|AIRASIA PHILIPPINES
687|PR|PHILIPPINE AIRLINES
688|PS|UKRAINE INTERNATIONAL AIRLINES
689|PU|PLUNA
690|PV|PAN AIR LINEAS AEREAS
691|PW|PRECISION AIR
692|PX|AIR NIUGINI
693|PY|SURINAM AIRWAYS
694|PZ|TAM MERCOSUR
695|Q2|ISLAND AVIATION
696|Q3|ZAMBIAN AIRWAYS
697|Q4|SWAZI EXPRESS AIRWAYS
698|Q5|FORTY MILE AIR
699|Q6|SKYTRANS
700|Q7|SOBELAIR
701|Q8|TRANS AIR CONGO
702|Q9|QUIKAIR AIRLINE SVS                            
703|QA|CLICK MEXICANA
704|QB|GEORGIAN NATIONAL AIRLINES
705|QC|CAMEROON AIRLINES
706|QD|AIR CLASS LINEAS AEREAS/AEROVIP
707|QE|EUROPE CONTINENTAL AIRWAYS
708|QF|QANTAS AIRWAYS
709|QH|ALTYN AIR AIRLINES
710|QI|CIMBER AIR
711|QJ|AIR COMPANY LATPASS
712|QK|AIR CANADA JAZZ
713|QL|AERO LANKA PVT LTD
714|QM|AIR MALAWI
715|QN|AIR ARMENIA
716|QQ|ALLIANCE AIRLINES
717|QR|QATAR AIRWAYS
718|QS|SMART WINGS
719|QT|REGIONAL AIR PT
720|QU|AIRLINE UTAIR UKRAINE
721|QV|LAO AVIATION
722|QW|TURKS AND CAICOS AIRWAYS
723|QX|HORIZON AIR
724|QY|EUROPEAN AIR TRANSPORT
725|QZ|INDONESIA AIRASIA
726|R2|ORENBURG AIRLINES
727|R3|YAKUTIA AIRLINES
