code|description__content
HFIES|PALLADIUM HOTEL GROUP
HG|HG HOTEL & APARTAMENTOS
HGD|HILTON WORLDWIDE
HHKG|
HHR|HAWAIIAN HOTELS & RESORTS
HIGH|HIGHGATE
HIGHT|PETIT PALACE
HIHOT|RESORTS MALLORCA HOTELS INTERNATIONAL
HII|
HILGV|HILTON GRAND VACATION CLUB
HILTO|HILTON HOTELS
HILWO|HILWOOD RESORTS AND HOTELS
HIMAH|HIMALAYA HOTELS S.L.
HIPAR|
HIPOT|HIPOTELS
HIROS|HIROSHIMA INTELLIGENT HOTELS
HISPA|CORPORACION HISPANO HOTELERA
HISTO|HISTORIC HOTELS
HIVER|HIVERNAGE HOTELS & SPA
HK|H&K HOSPITALITY MANAGEMENT
HMASH|HMASH
HMC|HMC RESIDENCES & HOTELS
HMHOT|HM HOTELS
HMOLI|HOUSE OF MOLI
HNAHR|HNA HOTELS & RESORTS
HOAME|HOSTALES DE AMERICA
HOANG|HOANG HAI LONG
HOCLU|
HODEL|HODELPA
HOLA|HOLA HOTELES
HOLID|HOLIDAY VILLA HOTELS & RESORTS
HOMEA|HOMEAROUND
HOMED|HOTELES MEDITERRANEO
HOMEG|HOMES GULF
HOMES|HOMES ORLANDO
HOMIN|HOME INNS
HOMTE|HOMTEL
HONAT|HOTELES NATURALIS
HONGT|HONG THIEN LOC GROUP
HONOT|HONOTEL
HOPE|HOPELAND GROUP
HOR|HORIZON
HORIS|HORISON HOTELS
HOSPE|HOSPES HOTELES
HOSTE|HOSTEL SUITES
HOSTM|HOSTMARK HOTELS & RESORTS
HOT|HLG HOTELS
HOTAN|HOTANSA
HOTAS|HOTASA
HOTBR|HOTELARIA BRASIL
HOTE|HOTELE DIAMENT SA
HOTET|BLUEBAY HOTELS
HOTIL|DES HÔTELS ET DES ÎLES
HOTMM|HOTELES MM
HOTS|HOTEL STYLISH
HOTUS|HOTUSA
HOVIM|HOVIMA
HOVIT|
HOWAR|HOWARD JOHNSON
HPERN|HOTEIS PERNAMBUCO S/A
HPHAR|HELIOS PHAROS HOTELS
HPHR|HARBOUR PLAZA HOTELS AND RESORTS
HPL|HPL HOTELS & RESORTS
HPLUS|
HPOTE|
HPREM|
HPROY|HOTELES PARK ROYAL
HREAL|HOTEIS REAL
HRG|HOTEL ROYAL GROUP
HRHGR|HRH GROUP
HRMGR|HRM Group
HRTG|HERITAGE GROUP
HSD|HOTEL SOLUTIONS DIRECT LTD
HSUCO|HOTEL SUCO
HT500|
HTAS|HOTÉIS A.S. PORTUGAL
HTL81|HOTEL 81
HTLHO|
HTLVA|HOTELES VAR
HTLZG|
HTOP|H-TOP HOTELS
HTPKO|HTP KORCULA D.D.
HUAZH|
HUG|HUGGLER HOTELS
HUPZA|HUP ZAGREB D.D.
HUSA|HOTELES HUSA
HVHOT|
HVIEW|HANOI VIEW
HW|HOLIDAY WORLD
HWHML|HOPEWELL HOTELS MANAGEMENT LTD
HWHPG|
HYATT|HYATT
IANSC|IAN SCHRAEGER
IBB|IBB HOTELS
IBEHT|IBEROTEL
IBERO|IBEROSTAR
IBERS|IBERSOL
IBFEE|
ICELA|ICELANDAIR
ICHEC|
ICHOT|IC HOTELS
ICITY|INTERCITY HOTEIS
ICON|Icon Resort Apartments
IDEA|IDEA HOTEL
IFA|IFA HOTELES
IGUAS|
IHC|ITALY HOTEL CLUB
IHG|InterContinental Hotels Group
IHHOT|IH HOTELS
ILLOT|L'ILLOT HOTELS
ILUN|ILUNION
IMB|IMB HOTELS
IMG|IMG HOTELES
IMPEG|IMPERIAL GROUP
IMPER|IMPERIAL LONDON  HOTELS
IMPGR|THE IMPERIAL HOTELS GROUP
IMPIA|IMPIANA HOTELS & RESORTS
IMPUL|IMPULSIVE GROUP
INATE|Fundaçao Inatel
INCOR|INVESTACOR
INDAH|INDAH PALACE
INDGH|Indigo Hotels
INFIN|INFINITY HOTEL AND RESORT
INNA|INNA HOTEL GROUP
INNCO|INN COME GROUP
INNTH|INNTEL HOTELS
INSOT|INSOTEL
INTCO|INTERCONTINENTAL HOTELS GROUP
INTEC|INTERCORP GROUP
INTER|INTERTUR
INTGD|INTERCONTINENTAL HOTELS GROUP
INTGR|INTERGROUP
INTHO|INTERHOTEL
INTPA|INTERPASS HOTEIS
INTRO|INTUROTEL
INTST|
INTUA|Intu Afrika
INTUM|
INTUR|INTUR
INV|ZINC INVISION HOSPITALITY
INVIS|INVISA
INWOO|INWOOD
IPAHO|
ISHIN|ISHIN HOTELS
ISLA|GRAN ISLA HOTELS
ISLAH|ISLA HOTELES
ISLAZ|ISLAZUL
ISROT|Hoteles ISROTEL
ITACA|
ITCHO|ITChotels
ITCWE|ITC WELCOME GROUP
ITI|ITI HOTELS
IWHIZ|Inti Whiz
IZAN|IZAN HOTELS
JADRA|JADRAN CRIKVENICA HOTELS
JAMBU|
JAN|JAN HOTELS
JANDA|LOS JANDALOS
JANEL|Janelas
JANNA|Jannah Hotels
JANPO|JANPOL
JARH|JA Resorts & Hotels
JATRA|Jatra Hotels
JAYAK|JAYAKARTA GROUP
JAYPE|
JAZ|JAZ HOTELS & RESORTS
JCRIS|GRUPO JOSE CRISTOVAO
JDV|JOIE DE VIVRE
JEAN|JEAN HOTELES
JETWI|JETWING
JGUO|JIAN GUO GROUP
JHR|J HOTELS & RESORTS
JIAH|
JININ|"JINJIANG INTERNATIONAL HOTEL MANAGEMENT CO| LTD."
JINJI|"JINJIANG INN CO| LTD."
JINMT|
JJW|JJW HOTELS
JM|JM HOTELES
JOLLY|JOLLY HOTELS
JORMA|JORMAND HOTELS
JRHOT|JR HOTELS
JSHOT|JS HOTELES
JTGRP|
JUANH|DON JUAN HOTELS
JUMEI|JUMEIRAH INTERNATIONAL
JUMHR|
JUPHO|Jupiter Hotels
JURIN|JURYS INN HOTELS
JURYS|DOYLE COLLECTION
JUSTA|
KAGUM|KAGUM HOTELS
KAIRH|KAIMOO RESORTS & HOTELS
KAKTU|KAKTUS GROUP
KANIK|KANIKA HOTELS
KARIB|KARIBEA
KARIS|KARISMA HOTELS
KASHG|KRABI ALL SEASONS HOTELS GROUP
KATA|KATA GROUP
KAYU|KAYUMANIS
KCH|KC HOTELS AND RESORTS INTERNATIONAL GROUP
KDG|K.Dimitrokalis Group
KEA|KEA HOTELS
KEELS|KEELS MANAGEMENT SERVICES
KEIO|KEIO PLAZA HOTELS
KEMPI|KEMPINSKI
KENZI|Kenzi
KER|KER HOTELES
KERVA|KERVANSARAY HOTELS
KERZN|KERZNER
KEYS|KEYS HOTELS
KHAYA|THE KHAYANGAN DREAM VILLAS
KHG|KANTARY HOTEL GROUP
KIBBU|KIBBUTZ HOTELS
KIMB|
KIMBE|KIMBERLEY ACCOMMODATION
KIMPT|KIMPTON
KINGS|KINGSMILLS HOTEL (INVERNESS) LTD
KIRMA|KIRMAN HOTELS
KKHOT|K+K HOTELS
KLRGR|KIRIKAYAN LUXURY RESORT GROUP
KNHOT|Kn Hoteles 
KOMAN|KOMANEKA
KOOX|KOOX HOTELS
KORAN|Koronios Andreas
KOSHI|KOSMOPOLITO HOTELS INTERNATIONAL
KRABI|C KRABI GROUP
KREML|KREMLEHNER HOTELS
KRIS|KRIS HOTELES
KRIST|KRIS THAILAND
KRYST|KRYSTAL
KSLRE|KSL RESORTS
KTRG|KATATHANI RESORT GROUP
KUKRE|KUKREJA GROUP HOTELS
KUPU|KUPU KUPU HOTEL AND RESORT
KVR|
KYOTO|KYOTO HOTELS
LABRA|
LADY|LADY GLEN HOTELS
LAGHE|Laghetto Hoteis
LAGRA|LAGRANGE
LAGUH|LAGUNA HOTELS & RESORTS
LAICO|Laico
LAIRG|LAIRG HOTELS LTD
LALIT|THE LALIT HOTELS GROUP
LAMAI|LAMAI GROUP
LAMAR|LA MARINA
LANCE|LANCEMORE GROUP
LANDI|LANDISON TOURISM GROUP CO LTD
LANGH|LANGHAM HOTELS
LANSO|Lanson Place
LARIS|LARIS
LATIT|
LAVEN|LAVENDER HOTELS
LBERT|LIBERTEL
LEADI|LEADING HOTELS
LEBUA|
LEE|LEE HOTELS
LEELA|THE LEELA
LEFKO|LEFKONIKO HOTELS
LEGAC|LEGACY HOTELS & RESORTS INTERNATIONAL
LEGED|Legend Lodges
LEGEN|THE LEGEND GROUP OF HOTELS & RESORTS
LEGR|Le Green
LEGRA|LE GRANDEUR HOTELS
LEMON|LEMON TREE HOTELS GROUP
LEO|LEO MANAGEMENT GROUP
LEONA|LEONARDO HOTELS
LEREL|Le Relax Hotels
LESLI|C/O LESLIE WOLFSON & CO
LETOO|LETOONIA HOTELS
LEVEN|LEVENTIS GROUP
LHMCL|L' HOTEL MANAGEMENT COMPANY LTD
LHOS|LIBERTY HOSPITALITY
LHPAR|LES HOTELS DE PARIS
LIBER|LIBERTY
LIBUR|LIBURNIA RIVIERA HOTELI D.D.
LIFEA|LIFE APARTMENTS
LIFEC|LIFECLASS
LIHOT|LIBERTADOR HOTELS
LIKUS|LIKUS
LIMAK|LIMAK GROUP
LINDE|LINDNER HOTELS
LINDO|Lindos Hotels
LINLE|LINLEVEN HOTELS
LIONR|
LISAT|Lisaltur
LISTE|LISTEL HOTELS
LITTO|LITTORAL HOTEIS
LIVEM|HOTEL LIVEMAX
LK|LK Group
LNIDO|
LOAMA|
LOAN|LO.AN
LOEWS|LOEWS HOTELS
LOGCO|LOG COLLECTION HOTELS
LOGIS|LOGIS
LOISU|Loi Suites Hotels
LOKHA|DE ' UMA LOKHA
LONRH|Lonrho Hotels
LONTO|LONDON TOWN HOTELS
LOPES|LOPESAN HOTEL GROUP
LOPEZ|HOTELES LOPEZ
LORDS|THE LORDS GROUP
LORIN|LORIN RESORT & SPA
LOSAR|THE LOSARI HOTELS INDONESIA
LOSIN|LOSINJ HOTELS & VILLAS
LOTTE|LOTTE HOTELS
LOUIS|LOUIS HOTELS
LOUVR|LOUVRE HOTELS
LOWY|LOWY GROUP
LR|LIFESTYLE RETREATS
LTI|LTI INTERNATIONAL HOTELS
LUCER|LUCERNA HOTELES
LUCIE|LUCIEN BARRIERE HOTELS ET CASINOS
LUCKY|LUCKY GROUP
LUISH|LUIS HOTELES
LUNA|LUNA HOTELS & RESORTS
LUX|LUX HOTELS
LUXRH|
LVSC|LAS VEGAS SANDS CORPORATION
MA|HOTELES M. A.
MABU|MABU HOTEIS & RESORTS
MACAU|MACAU CTS HT MANAGEMENT (INT'L) LTD
MACDO|MACDONALD HOTELS
MACHO|MAC HOTELS
MACIA|MACIA HOTELES
MACLE|MACLEOD HOTELS
MADAD|
MADAM|Madame Vacances
MADOR|MARINA D'OR
MAEST|MAESTRALI HOTELS
MAGHO|MAG HOTELS
MAGIC|MAGIC HOTELS
MAGIL|Magic Life
MAHIN|MAHINDRA GROUP
MAIG|MAI RESORT GROUP
MAIST|MAISTRA D.D.
MAJER|MAJESTIC RESORTS
MAJES|MAJESTIC HOTEL GROUP
MAJHO|MAJESTIC HOTELS
MALDR|MALDRON HOTELS
MALI|MALI COOPERATION
MALMA|MALMAISON HOTELS
MAMA|MAMAISON
MANDA|MANDARIN ORIENTAL HOTEL GROUP
MANGP|
MANGR|MANDARAVA AND MORACEA GROUP
MANHA|Martinhal
MANHO|
MANOL|MANOLI HOTELES
MANOR|MANOR HOUSE HOTELS
MANOT|MANOTEL
MANSI|
MANTI|MANTIS COLLECTION
MANTR|MANTRA GROUP
MAR|MAR HOTELS
MARAN|Maranatha
MARBI|MARBELLA INDONESIA
MARCA|Mar de Canasvieiras
MARCL|MARINA CLUB
MARCO|MAR CONFORT HOTELES
MARCP|MARCOPOLO SUITES
MARDE|M´AR DE AR HOTELS
MAREN|
MARES|MARES SUR HOTELES
MARFA|Al Marfa Pearl Hotels Management L.L.C
MARHO|MARINA HOTELS
MARI|MARITIM
MARIH|MARINS HOTELS
MARIN|MARINA BALEAR
MARIO|MARRIOTT HOTELS AND RESORTS
MARIS|Maris Hotels
MARIT|MAR I TERRA HOTELS
MARLI|MARLIN APARTMENTS
MARMA|MARMARA HOTELS
MARPO|MARCO POLO HOTELS
MARSO|MARSOL
MARST|MARSTON
MARTH|CLUB MARTHA'S RESORT
MARTI|MARTI HOTELS
MARTN|MARTINS HOTELS
MARVE|MARVEL
MASHO|
MATHA|MANATHAI CHANNEL
MATSU|Matsubara Hotels
MAVIT|MAVITEL HOTELES
MAX|MAX HOTELS
MAXOH|MaxOneHotels.com
MAYAN|MAYAN RESORT
MAYAR|MAYALAND RESORTS
MAYFA|MAYFAIR CARPET GALLERY LTD
MAYOR|HOTELES MAYORAL
MBALO|MB ALONA D.O.O.
MCALO|
MCARL|MONTE CARLO INN
MCHOT|MC HOTELS
MCKEV|MCKEVER HOTELS
MCQUA|MCQUADE GROUP
MEDAP|MED APARTS
MEDHO|MEDITERRANEAN HOTELS
MEDIN|MEDINA HOTELS
MEDIT|MEDITERRANEO SUR
MEDIU|MEDIUM HOTELES
MEDP|MED-PLAYA
MEINI|MEININGER CITY HOSTELS & HOTELS
MELAW|MELAWAI HOTEL
MELCO|MELCO CROWN ENTERTAINMENT
MELLO|MELLOWMOOD
MENA|MENA HOTELS
MENZI|MENZIES HOTELS
MERCE|MERCER ACCOMMODATION GROUP LIMITED
MERGO|
MERI|MERIT HOLIDAY PARK GROUP
MERIS|MERITUS HOTELS AND RESORTS
MERIT|MERITON HOTELS
METHO|METROPARK HOTELS MANAGEMENT & CO. LTD.
METR|METRO HOTELS
MG|MERLIN GROUP
MGD|
MGE|MGE HOTELS
MGM|MGM HOTELS
MHAPT|MH APARTMENTS
MHGRO|MH GROUP OF COMPANIES
MHOTE|
MIATA|Michels and Taylor
MICHE|Mitchell Corp
MICHO|MICROTEL
MICOP|MILLENNIUM & COPTHORNE HOTELS
MIDA|Mida Hotels & Resorts
MIG|MINOR INTERNATIONAL GROUP
MILLE|MILLENNIUM HOTELS AND RESORTS
MILLI|MILLING HOTELS
MIMPI|MIMPI RESORT
MINOS|MINOS HOTELS
MINOT|MINOTEL
MIRA|MIRACLE GROUP
MIRAC|MIRACHORO HOTELS
MIRAM|MIRAMAR INTERNATIONAL HOTEL MANAGEMENT CORP
MIRVA|MIRVAC
MISIO|MISION
MITSI|MITSIS HOTEL GROUPS
MITSU|MITSUI GARDEN HOTELS
MIXHO|
MIYAK|MIYAKO HOTELS
MK|MAR KRABI
MKHAO|MAIKHAO DREAM HOTELS AND RESORTS
MKLD|MK LAND HOTELS & RESORTS
MKMOU|MK MOUNTAIN RESORT
MLD|MACAU LEGEND DEVELOPMENT
MLL|MLL HOTELS
MMV|MMV
MOAT|MOAT HOUSE HOTELS
MOCHI|"MOTEL CHAIN CO| LTD."
MODEH|MODERN HOTELS GROUP
MOKIN|MOKINBA HOTELS
MOLAV|
MONA|MONA LISA
MONAR|MONARQUE HOTELES
MONDA|Monday Hotel Group
MONDO|MONDO HOSPITALITY
MONFO|Ô Hotels & Resorts
MONH|MONTGOMERY HOTEL GROUP
MONOG|MONOGRAM HOTELS
MONRA|
MONST|HOTELS GROUP MONTENEGRO STARS DOO
MONT|MONTEMAR
MONTA|MONTARA HOSPITALITY GROUP
MONTB|Montebelo
MONTE|HOTELES MONTE
MONTP|MONTPELLIER
MONTY|MONTEREY HOTELS
MONUM|MONUMENT LEISURE
MOODH|MOOD HOTELS
MOONE|MOONEY HOTEL GROUP
MORAN|MORAN HOTELS
MORE|
MORGA|MORGANS HOTELS
MORVA|MORVAN FAMILY HOTELS LIMITED
MOSSA|MOSSA
MOTEL|MOTEL6
MOURA|EL MOURADI
MOVEN|MOVENPICK HOTELS & RESORT
MOZAI|THE MOZAIC
MRC|MR C HOTELS
MS|MS HOTELES
MT|MOM TRI
MTGRP|MONTIEN GROUP
MTONE|MOTEL ONE
MULIA|MULIA HOTELS
MUNDU|MUNDUK RESORT
MUR|GRUPO MUR HOTELES
MUS|MUANG SAMUI
MUTIA|MUTIARA HOTELS & RESORTS
MVACA|MVACANCES
MVM|Hotels et Résidences MVM
MYHOT|MYHOTEL
NAIAR|NAIADE RESORTS
NAIIN|NACIONAL INN
NAMIB|NAMIBIA COUNTRY LODGES
NARAD|NARADA GROUP
NARAI|NARAI GROUP
NASH|NASH-HOTEL DE BERNE SA
NATRA|NATRA GROUP
NAUMI|
NCHOR|NEW CENTURY HOTELS AND RESORTS
NEELK|NEELKANTH GROUP
NELSO|NELSON HOTELES
NEMEA|Residence Nemea
NERUD|HOTELERA NERUDA
NEWHO|NEW HOTEL
NEWMA|Newmark Hotels
NEWTN|
NH|HOTELES NH
NHS|NHS
NIKKO|NIKKO HOTELS INTERNATIONAL
NIL|NIL
NIRWG|
NISNA|NIS-NAFTAGAS
NOA|NOA HOTELS
NOBIL|NOBILE HOTEIS
NOBLE|
NOMAD|NOMADS
NORD|NORD HOTELS
NORDI|NORDICHOTELS OY
NORDO|NORDOTEL
NOVUM|
NOVUS|NOVUS BALI HOTELS & RESORTS
NRHT|NORA RESORTS AND HOTELS THAILAND
NUÑEZ|NUÑEZ  Y NAVARRO
NWH|NEW WORLD HOTELS
OAKS|OAKS HOTELS AND RESORTS
OAKWO|OAKWOOD APARTMENTS
OANDL|O&L Leisure Chain
OASIS|OASIS FUERTEVENTURA
OBERO|OBEROI HOTELS AND RESORTS
OCA|OCA HOTELES
OCALL|O'CALLAGHAN HOTELS
OCCI|OCCIDENTAL HOTELS & RESORTS
OCEAN|OCEAN HOTELS
OCEAR|OCEANICO RESORTS&LEISURE
OCEBR|OCEAN BREEZE HOTELS
OCEHO|Oceanico Hoteis
OCEHT|OCEANA HOTELS
OCENI|OCEANIA
OCRES|OCEAN RESORT
ODALY|ODALYS
ODARA|Odara Hoteis
ODH|OD HOTELS
OH|OASIS HOTELES
OHANA|OHANA
OHTEL|OHTELS
OK|OK HOTELS
OKURA|OKURA HOTELS AND RESORT
OLA|OLA HOTELES
OLDEN|OLD ENGLISH INNS
OLE|OLE HOTELS
OLISS|OLISSIPO HOTEIS
OLIVE|O-LIVE RESORTS
OLSHR|
OLYMH|OLYMPIA HOTELS
OLYMP|OLYMPIC HOLDING
OMNI|OMNI
ONAHO|
ONASO|Port Hotels
ONDES|
ONETO|ONE TO ONE HOTELS & RESORTS
ONIX|HOTELS ONIX
ONOGO|HTP ONOGOST A.D.
ONYX|ONYX HOSPITALITY
OPETI|OPERADORA TIM
ORA|ORAPIN BEACH RESORT GROUP
ORAH|ORA HOTELS
ORASC|ORASCOM
OREA|OREA HOTELS
ORIEN|ORIENT EXPRESS
ORIG|ORIGINAL HOTELS
ORION|ORION GROUP
ORLY|ORLY CLUB
OROPE|
OROVA|OROVACANZE
ORVAS|ORVAS
OST|OSTAR Grupo Hotelero
OSTI|OSTI HOTELS
OTANI|NEW OTANI GROUP
OTHBR|HOTEIS OTHON
OUNEL|OU NELAG
OUTRI|OUTRIGGER
OVOLO|
OXFOR|OXFORD HOTELS AND INNS
OZKAY|OZKAYMAK HOTELS
OZTAN|OZTANIK OTELCILIK
PABE|PALM BEACH GROUP
PABIS|PABISA HOTELES
PACIF|PACIFIC RIM HOTELS
PADMA|PADMA HOTELS & RESORTS
PALAC|PALACE RESORTS
PALAF|PALAFOX HOTELES
PALGR|KATA PALM AND RAWAI PALM GROUP
PALIA|PALIA
PALM|HOTELS PALM
PALMA|DE PALMA GROUP OF HOTELS
PALMG|
PANA|PANALI
PANPC|PAN PACIFIC HOTELS & RESORTS
PANV|PANVIMAN GROUP
PAPHO|PAPILLON HOTELS
PAR|PARADOR
PARAD|PARADORES DE TURISMO
PARAG|The Paradiso Group
PARAR|Paradise Hotels & Resorts
PARIN|PARADISE GROUP
PARKH|PARK HOTEL
PARNA|PARNASSUS RESORTS
PASER|LA PASERA
PATRA|PATRA JASA
PAV|PAVILION RESORTS
PEAB|PEABODY HOTEL GROUP
PEACH|PEACH GROUP
PEARL|Pearl Hotels
PEDRO|DOM PEDRO HOTELS
PEEL|PEEL
PEERM|PEERMONT HOTELS CASINOS RESORTS
PEGAS|PEGASOS HOTELS
PENIN|THE PENINSULA
PENTA|PENTA
PERAL|GRUP PERALADA
PERTI|PERTIWI HOTELS
PESTA|PESTANA
PGHD|Panorama Group of Hotels Dubai
PGRAN|Ponta Grande
PHG|PAVILION HOTEL GROUP
PHI|PHI PHI HOTEL GROUP
PHM|Premier Hospitality Asia
PHMHO|PHM Hospitality
PHOTE|P HOTELS
PHR|PARKROYAL HOTELS & RESORTS
PHUK|PHUKET SAWASDEE
PICKA|PICK ALBATROS HOTELS MANAGEMENT
PIERR|PIERRE ET VACANCES GROUP
PIN|PINNACLE GROUP
PINTA|LA PINTA
PIRAM|PIRAMIDE
PITAN|PITANGASOL
PLAAN|HOTELES PLAZA ANDORRA
PLAC|PLACE
PLAPA|
PLASO|PLAYA DEL SOL MEXICO
PLATA|Platano Hotels
PLATI|PLATINUM HOTELS & RESORT
PLAVA|PLAVA LAGUNA
PLAYA|GRUPO PLAYASOL
PLAZA|PLAZA HOTELS
PLEAF|PALMLEAF HOTEIS
PLYHT|PLAYA SENATOR
PLYNG|PAILYN GROUP
PMG|PITA MAHA GROUP
POLLE|HOTELERA POLLENSINA
PONTI|PONTINS
PORCE|PORCEL
PORTA|PORT AVENTURA HOTELS
PORTL|PORTLAND HOTELS MANAGEMENT LIMITED
PORTO|PORTO BAY HOTELS & RESORTS
PORTS|Portos Santo Hotels
POSAD|POSADAS DE ESPAÑA
POSEI|HOTELES POSEIDON
POUBR|POUSADAS COSTA DO SAUIPE
POUSA|POUSADAS DE COMPOSTELA
PPLAZ|
PRAIA|
PRAIN|
PRECI|PRECISE HOTELS
PREFE|PREFERRED HOTELS & RESORTS
PREG|PREMIER GROUP
PREGI|PREGIO HOTELS
PREHO|PREMIER HOTELS AND RESORTS - SOUTH AFRICA
PREIN|
PREM|PREMIUM HOTELS
PREMH|PREMIER HOTELS
PREMI|PREMIER RESORTS
PRESH|"PRESTIGI HOTELS| S.A."
PREST|PRESTIGE HOTELS
PRETU|HOTELES PRETUR
PRFT|PERFECT HOTEL
PRHG|
PRIAP|PRIME APARTMENTS HOTEL & RESORTS
PRIDE|THE PRIDE
PRIHA|PRINCIPAL HAYLEY
PRIHO|PRINCIPAL HOTELS
PRIM|PRIME PLAZA HOTELS & RESORT
PRIMA|PRIMASOL
PRIMH|PRIMA HOTELS
PRIMM|PRIMM VALLEY CASINO REPORTS
PRIMO|PRIMOSTEN-HOTELI D.O.O.
PRINC|PRINCESS HOTELS
PRINH|PRINCE HOTELS LIMITED
PRINS|PRINSOTEL
PRIRE|PRINCE RESORTS HAWAII
PRIVI|PRIVILEGE
PRIX|
PROFI|PROFIL HOTELS
PROM|PROMENADE HOTEL SDN. BHD
PROME|PROMENADE
PROTE|PROTEA HOTELS
PROTU|PROTUR HOTELS
PROVE|PROVENCE
PROXI|PROXIMA HOTELES
PRTIN|PREMIER TRAVEL INN
PUEBO|PUEBLO BONITO RESORTS
PULAI|PULAI SPRINGS BHD.
PUMA|THE HOTEL COLLECTION
PUNN|PUNNPREEDA
PUNTH|PUNT HILL
PURI|PURI SARON HOTEL
PURIC|PURI COLLECTION
PUROH|
PYRAM|PYRAMISA
PZBRA|PLAZA BRASILIA HOTEIS
QAFQA|QAFQAZ HOTELS
QHOTE|Q HOTELS
QUALI|QUALITY HOTELS
QUALT|QUALTON
QUBUS|QUBUS HOTELS
QUEST|QUEST SERVICED APARTMENTS
QUINS|LA QUINTA INNS & SUITES
QUO|QUO HOTELES
R2|R2
RADED|RADISSON EDWARDIAN
RADI|The Radiant
RADIA|RADIANCE GROUP
RADIS|CARLSON REZIDOR HOTEL GROUP
RAFA|RAFAEL HOTELES
RAH|RAH HOTEIS
RAICE|RAICES DEL PLATA
RAINB|RAINBOW TOURISM GROUP
RAINT|THE RAINTREE HOTELS
RAMA|RAMADA JARVIS HOTELS
RAMAB|RAMA HOTELS & RESORT BALI
RAMBL|RAMBLAS HOTELES
RAME|RAMADA ENCORE
RAMEE|RAMEE GROUP OF HOTELS & RESORT
RANDW|RANDWICK LODGES
RANI|RANI HOTELS
RBIHG|RHOMBUS INTL HOTELS GROUP
RCAST|RESIDENCIA CASTELLANO
RCDHO|RCD Hotels
RCG|RCG GROUP
RCHG|ROYAL CLIFF HOTELS GROUP
RDATL|REDE ATLANTICO DE HOTEIS
RDERU|
RDH|ROSEDALE HOTELS
REAL|GRUPO REAL HOTELS
REALR|REAL RESORTS
REBRI|
RECOM|RECOMMENDED HOTELS
REDAT|Rede Atlantica
REDCA|THE RED CARNATION HOTEL COLLECTION
REDEB|REDE BOULEVARD
REDEM|REDE MIRADOR
REDLI|RED LION HOTELS
REDPL|
REDRO|RED ROOF INNS
REDSO|
REEF|THE REEF RESORTS
REG|REGAL HOTELS INTERNATIONAL
REGEN|REGENCY HOTELS & RESORTS
REGET|REGETEL
REGRE|Regent Hotels & Resort
REHOG|RESTEL HOTEL GROUP
REIK|Reikartz Hotels & Resorts
RELAH|AFRICAN HOTEL AND ADVENTURE (AHA)
RELAI|RELAIS & CHATEAUX
RELAX|RELAXIA
RELEX|RELEXA
REMBR|REMBRANDT GROUP
REMIN|REAL DE MINAS
RENDE|RENDEZVOUS HOTELS
RENMD|
RENNI|RENNIE MACKINTOSH GROUP
REP|HOTELREP
REPFI|REDE PORTO FIRME DE HOTEIS
REQUE|ASTON HOTEL AND RESORT
RESAV|RESAVA GROUP
RESID|GRUPO RESIDE
RESO|RESORTS WORLD BHD
RESOT|Resotel Group Hotel & Resort
RESPI|RESPITE HOTELS
RETAJ|Retaj Hotels and Hospitality
REVE|HOTELES REVERON
REVER|REVERE GROUP
REX|REX
REYKJ|REYKJAVIK HOTELS
RFHOT|RF HOTELS
RH|HOTELES RH
RIA|RIA PARK HOTELS
RIAND|RIANDE HOTELS
RICA|RICA HOTELS
RICEH|
RICHA|RICHARDSON HOTELS
RICPH|
RIEMA|GRUPO RIEMA
RIHGA|RIHGA ROYAL HOTEL
RIMON|RIMONIM HOTELES
RINDO|RINGHOTELS + DORMOTELS
RING|RINGHOTEL
RINGH|RINGHOTELS E.V.
RINH|RIN HOTELS
RIO|GRUPO RIO
RISIN|RISING DRAGON GROUP
RITZA|RITZ ANGOLA
RIU|RIU HOTELES
RIVER|RIVERSUN TOURISTIC
RIVHT|RIVIERA HOTEIS
RIXOS|RIXOS HOTELES
ROBER|ROBERTSON HOTEL COMPANY LTD
ROBIN|ROBINSON
ROC|ROC HOTELS
ROCBL|GRUPO ROC BLANC
ROCCO|ROCCO FORTE HOTELS
ROCHE|ROCHESTER
RODH|
ROMAN|Romantik Hotels and Restaurants International
ROOM|ROOM MATE
ROOMZ|
ROPAL|
RORE|ROYAL RESORTS
ROSEN|ROSEN HOTELS & RESORT
ROSEW|ROSEWOOD HTL AND RESORT
ROSIT|Rosita & El Pescador Hotels
ROTAN|ROTANA HOTELS
ROYA|Royal Hotels & Spa Resorts
ROYAL|ROYAL PREMIER HOTELES
ROYHO|ROYAL HOTELS
ROYL|ROYAL GROUP
ROYOR|ROYAL ORCHID HOTELS
RPLAN|Red Planet Hotels
RRHG|RR Hotels Group
RSIDH|RESIDHOTEL
RURAL|Granada Rural
RVER|ROYAL RIVER GROUP
RVHOT|RV Hotels
RVTA|RED DE VILLAS TURISTICAS DE ANDALUCIA
RYDGE|RYDGES HOTELS
S15|SUKHUMVIT 15 PLACE GROUP
SABIN|SABINA HOTELS
SABIR|SABIR HOTEIS
SAFEG|SAFEER GROUP
SAHID|SAHID HOTELS
SAINT|HOTELERA SAINT MICHEL
SAKHG|SAKURA HOTEL GROUP
SALA|SALA RESORTS AND SPAS
SALIL|SALIL HOTELS
SAMBA|SAMBA HOTELS
SAMED|SAMED RESORTS
SANA|SANA HOTEIS
SANDA|SANDALS
SANDM|SANDMAN HOTELS
