code|description__content
AUSIN|AUSTRIA INTERNATIONAL HOTELS
AUSTH|AUSTROTEL HotelbetriebsgmbH
AUSTR|AUSTRIA TREND
AVALO|AVALON RESORTS
AVETR|AVETRAVEL
AVILI|Avillion Hotel Group
AVILL|AVILLA HOSPITALITY
AXEL|AXEL HOTELS
AXIS|AXIS HOTEIS & GOLFE
AYDHT|AYDINBEY HOTELS
AYH|A & H HOTELES
AYRE|AYRE
AYRES|AYRES HOTELES
AZHO|A-Z HOTELS
AZIMU|Azimut Hotels
AZULI|AZULINEHOTELS
BAAN|BAAN KRATING HOTELS
BAGLI|BAGLIONI HOTELS
BAGUS|BAGUS DISCOVERY
BAHIA|BAHIA PRINCIPE CLUB & RESORTS
BAIA|Hoteis Baia
BAIY|BAIYOKE GROUP
BAJAH|BAJA HOTELS
BALAI|Balaia
BALBO|BALBOA HOTELES
BALDE|BALDERRAMA HOTELES
BALI|GRUPO BALI
BALIG|BALI GARDEN GROUP
BALIR|BALI RICH LUXURY VILLA
BALLA|Balladins
BANDA|BANDARA
BANTI|BANTITA GROUP
BANYA|BANYAN TREE HOTELS AND RESORTS
BARCE|BARCELO HOTELES
BARCH|BARCELONA CITY HOTELS
BARHO|Baron Hotels & Resorts Egypt
BARNA|BARNACLES
BARON|BARON SERVICE
BARUT|
BASE|BASE BACKPACKERS
BASTI|BASTION HOTELS
BATAI|GROUPE HOTELIER BATAILLE
BAWAG|
BAY|BAYVIEW INTERNATIONAL HOTELS AND RESORTS
BAYGA|BAY GARDENS RESORTS
BBHOT|B&B HOTELS
BBINN|BBINN
BBIRE|B&B IRELAND
BCNAP|BARCELONA APARTMENT
BDL|BDL HOTELS
BEACH|BEACHCOMBER
BEATR|BEATRIZ HOTELES
BEAUF|BEAUFORT HOTELS
BEEHI|BEEHIVE HOTELS
BEIJU|BEIJUAN HOTELES
BELAI|
BELAM|BELAMBRA
BELLA|BELLAMAR
BELLE|BELLEVUE HOTELS
BELMO|Belmond
BELVD|BELVEDERE HOTELS
BELVE|BELVER
BELVI|BELLA VILLA GROUP
BENID|HOTELES BENIDORM
BENIK|BENIKEA
BENIN|BENINTER
BENSA|BENSAUDE TURISMO
BERES|
BERNA|BERNARDIN
BERTA|BERTANI GROUP
BESPO|BESPOKE HOTELS
BEST|BEST HOTELS
BESTW|BEST WESTERN
BETA|BETA HOTELES
BG|BG HOTELES
BH|BERN HOTELS & RESORT
BHDGE|
BHHOT|BH HOTELES
BHR|BERJAYA HOTELS & RESORTS
BINMA|
BLACK|BLACK SEA HOTELS
BLAU|BLAU HOTELS
BLAUP|BLAU PARC HOTELS
BLISS|BLISS APARTMENTS
BLUE|BLUE BAY
BLUED|Blue Diamond Hotels and Resorts
BLUEG|BLUEGR MAMIDAKIS HOTELS
BLUES|HOTELS & RESORTS BLUE SEA
BLUET|BLUE TREE
BLUGR|BLUE & GREEN
BMC|BMC HOTELS
BMR|
BMV|Bali Management Villas
BOITA|BOI TAULL
BONDI|BONDIAHOTELS
BONHT|Bon hotels
BOREI|BOREI ANGKOR HOTELS GROUP
BOSCO|BOSCOLO HOTELS
BOSSO|BOSSOTEL
BOURB|BOURBON HOTÉIS & RESORTS
BOUST|BOUSTEAD HOLDINGS BHD.
BOUTI|BOUTIQUE HOTEL MANAGEMENT ASIA
BOYCE|HOTELES BOYCE
BOYD|BOYD GAMING CORPORATION
BQ|BQ HOTELES
BRAVA|COSTA BRAVA VERD HOTELS
BRAVO|BRAVO TOURISM
BRI|BRISTOL HOTEIS
BRIDA|
BRIDG|BRIDGESTREET ACCOMMODATIONS LONDON LIMITED
BRIHO|BRISAS HOTELS & RESORTS
BRISA|RENTALMAR
BRITA|BRITANNIA HOTELS
BRITH|BRIT HOTEL
BROAD|
BROCH|BROCHNER HOTELS
BROHO|
BROOK|BROOK HOTEL
BRUDO|BRUDOLFF HOTELS
BSUN|BLUESUN
BTB|BTB
BTG|
BUDDG|BUDDY GROUP
BUEHO|Buenas Hoteis
BUENA|BUENAVENTURA
BULL|BULL HOTELS
BULLD|BULL DOG GROUP
BURI|BURI TARA HOTELS
BUTTE|
BVILL|B VILLA
BVP|BALI VILLA PROPERTIES
BWHOT|B-WHOTELS
BZBUZ|BZ BUZIOS
CABAU|CABAU HOTELS
CABIN|CABINN HOTELS
CABOT|CABOT HOTELS
CACTU|CACTUS GROUP
CAESA|CAESAR
CAHRN|"Cataract Hotels| Resorts & Nilo Cruises"
CAIRN|CAIRN HOTELS
CAJUH|Group Caju Hoteis
CALA|CALA HOTELS
CALCO|GRUPO CALCO
CALDA|CALDARIA
CALED|CALEDONIA APARTHOTELS
CALID|CALIDONIA
CALPA|GRUP CAL PARENT
CAMRE|CAMINO REAL
CANDE|Candeo Hotels
CANNE|CANNES
CAPE|CAPE HOTEL GROUP
CAPEL|CAPELLA HOTELS AND RESORTS
CAPIT|CAPITAL HOTELS & RESORTS
CAPSI|CAPSIS
CARDO|Cardoso Madeira Hoteis
CARIB|Caribbean World
CARLH|CARLTON HOTEL GROUP LIMITED
CARLS|CARLSON HOSPITALITY
CARLT|CARLTON HOTELS
CARME|CARMEL HOTEIS
CARSO|CARSONS CUMBERBATCH
CASAA|CASA ANDINA HOTELES
CASAG|CASA GRANDE
CASIN|CASA INN
CASTE|CASTELLO HOTELS
CASTI|
CASTL|CASTLE RESORTS
CASUA|CASUAL HOTELES
CATA|CATALONIA HOTELS
CATU|CATUSSABA HOTEIS
CAUSE|CAUSEWAY HOTELS
CAVEN|CAVENDISH HOTELS
CB|CLUB BALI
CCOHT|CHINA CENTURY ORIENTAL HOTELS & TOURISM CO. LTD
CDB|CDB Resorts
CEDAR|CEDAR COURT
CEIG|CEIGRUP
CELUI|GRUPO CELUISMA
CEMPA|GRAND CEMPAKA GROUP
CENHO|Center Hotels
CENTA|CENTARA HOTELS & RESORTS
CENTE|HOTELES CENTER
CENTR|CENTRAL APARTMENTS AND HOTELS
CESAR|CESAR HOTEIS
CH|COMPASS HOSPITALITY
CHA|CADENA HOTELERA ASTURIANA
CHABA|CHABA GROUP
CHAD|CHA-DA GROUP
CHAHO|Cha Hoteis
CHAND|CHANDRIS HOTELS & RESORTS
CHANN|CHANNEL HOTELS AND LEISURE LTD
CHAR|CHARLESTON
CHARM|CHARMING HOTELS
CHAT|CHATRIUM GROUP
CHATE|Chateaux & Hotels Collection
CHAW|CHAWENG REGENT GROUP
CHD|CAPITAL HOTELS DUBLIN
CHECK|
CHECV|
CHEER|CHEERFULWAY
CHELA|
CHERY|CHERRY HOTELS GROUP
CHESS|CHESS
CHG|Capital Hotel Group
CHIC|CHIC AND BASIC
CHIN|CHINCHERINI HOLIDAYS
CHOIC|CHOICE HOTELS
CHOTE|C HOTELS
CHR|Colina Hotels and Resorts
CHROM|
CINNA|
CIOFF|GRUPO CIOFFI (PREMIUM TOWER)
CIPRO|CIPROTUR
CISEA|City Seasons Hotels
CITAD|CITADINES
CITEA|CITEA HOTELS
CITI|CITITEL HOTEL MANAGEMENT
CITOT|CITOTEL
CITRU|Citrus Hotels
CITY|CITY HOTELS
CITYE|CITY EXPRESS
CITYG|
CITYM|CITYMAR
CITYN|CITY INN
CIUTH|CIUTAT HOTELS
CIVIS|CIVIS HOTELES
CIVIT|CIVITEL HOTEL & RESORTS
CLALO|Classic Lodges
CLARE|CLARE COAST HOTELS GROUP
CLARK|
CLASI|CLASSICAL HOTELS
CLASS|CLASSICA HOTELS
CLBR|CLASSIC BRITISH HOTELS
CLEME|CLEMENT HOTELES
CLOVE|HOTEL CLOVER
CLUBL|CLUB LA COSTA
CMHO|CM HOTELS
COAST|Coastlands Hotels
COCO|COCOTINOS RESORT
COCOC|COCO COLLECTION
COCOM|
COLA|COLA HOTELS
COLO|COLONIAL HOTELES
COMMU|
COMO|COMO HOTELS
COMOR|
COMOS|"HOTELERA COMO| SL"
COMPA|COMPASS HOTEL LTD
COMWE|COMWELL HOTELS
CONCE|
CONCO|CONCORDE HOTELS
CONDE|HOTELES CASA CONDE
CONFH|CONFORT HOTELES
CONFI|CONFIFI HOTELS
CONHO|CONCEPT HOTELS
CONHP|
CONHT|Constance Hotels
CONOR|Costa Norte Hoteis
CONST|CONSTELLATION HOTEL GROUP
CONTI|CONTINENTAL HOTELS
CONVE|CONVENIENT GROUP
CORAL|CORAL HOTELS
CORDI|CORDIAL
CORIN|CORINTHIA HOTELS
CORNE|THE THREE CORNERS HOTELS & TOURISM
CORPO|CORPOROVENTAS
CORUS|CORUS
COSHO|HOTELES COSMOS
COSTA|MAGIC COSTABLANCA
COTTA|COTTAGES TO CASTLES
COTUR|EVENIA HOTELS
COUNT|IRISH COUNTRY HOTELS
COUPL|COUPLES
COVEN|COVENANTERS INN(AULDEARN)LTD
CPG|CENTRE POINT GROUP
CRAIG|CRAIGMONIE HOTEL & LEISURE LTD
CRCBR|CROWN & CHAMPA RESORTS
CRERA|CRERAR HOTELS
CRIEF|CRIEFF HYDRO HOTELS
CRIHR|CRISTAL HOTELS & RESORTS
CRIMS|CRIMSON HOTELS
CRIST|HOTEIS CRISTAL
CROSS|CROSS HOTELES
CROWN|CROWN HOTELS
CRREG|CROWN REGENCY HOTES
CRRES|CROWN RESORTS GROUP
CRYST|CRYSTAL HOTELS
CSHOT|Nau Hotels & Resorts
CSTYL|CHIC AND STYLISH HOTEL COLLECTION
CTNHO|
CTSOL|Canto del Sol
CUBAN|CUBANACAN
CURSA|
CYE|CYE
CYMCA|CHINESE YMCA OF HK
CYPRO|CYPROTEL
CYTS|CYTS Shanshui Hotels
DADED|Dadeda
DAGUI|DAGUISA HOTELES
DAILY|DAILYFLATS
DAMAC|
DANAT|DANAT HOTELS & RESORTS
DANHO|DAN HOTELS
DANTE|DANTE HOTELES
DANU|DANUBIUS HOTELS
DAURO|HOTELES DAURO
DAYS|DAYS INN
DAYSH|PREM GROUP
DCHOT|DCHOTELES
DECAM|DECAMERON
DEDEM|DEDEMAN HOTELS
DEEVA|DEEVANA GROUP
DEHOR|Details Hotels & Resorts
DELA|Delaware North Australia Parks and Resorts
DELFI|DELFIN HOTELS
DELPH|DELPHIN HOTELS
DELTA|DELTA HOTELS (CANADA)
DERAG|DERAG HOTEL AND LIVING
DERBY|DERBY HOTELS
DES|
DESHT|Dessole Hotels
DESIG|DESIGN HOTELS
DESIL|DE SILVA
DEST|DESTINATION HOTELS
DEVER|DE VERE
DEVIL|HOTÉIS DEVILLE
DFN|
DGHOT|DG HOTELS
DHG|
DHOT|D-HOTELS
DHR|Discovery Hotels & Resorts
DIAMO|DIAMOND RESORTS
DIFHO|DIFFERENT HOTELS
DISHG|DISTINCTION HOTEL GROUP
DITUR|Meditur
DIVAN|DIVAN GROUP
DIVHO|DIVANIS
DIVI|DIVI
DLPHI|DELPHIA HOTEIS
DMH|DM Hoteles
DOBRY|DOBRY HOTEL
DOLAN|DOLAN HOTELS LTD
DOLCE|DOLCE INTERNATIONAL
DOMAS|DOMASA
DOMCA|DOM CARLOS HOTEIS
DOMO|DOMOTEL
DOMUS|DOMUS HOTELES
DONSU|DON SUITES HOTELS
DOR|D'OR HOTELS
DORIN|Dorint Hotels
DORIS|Dorisol
DORMI|DORMICUM HOTELS
DORMO|DORMOTEL
DORS|DORSETT HOSPITALITY INTERNATIONAL
DOURO|DOUROS GROUP OF HOTELS
DOÑAJ|DOÑA JUANA CECILIA
DPHG|Duna Parque hotel Group
DR|DARA RESORTS
DREA|DREAMTIME RESORTS
DREAM|DREAMPLACE HOTELS & RESORTS
DREIE|DREAM IRELAND
DRIF|DRIFTWOOD
DRUDS|Druds Hoteis
DTHTL|DTH Hotels
DUBRO|DUBROVNIK D.D.
DUNAS|HOTELES DUNAS
DUSIT|DUSIT INTERNATIONAL
DUXTO|DUXTON HOTEL
DVARE|D Varee Hotels & Resorts
DYLAN|DYLAN APARTMENTS
DYTHO|D&T HOTELS BUENOS AIRES
Disne|The Walt Disney World Resort
EASTI|EASTIN HOTEL
EAXES|HOTELES EAXESS
EBEN|EBENIA HOTELS
ECO|ECO HOTELES
ECONO|Lefteris Economou Management CO
ECOTU|ECOTULUM
EDEN|EDEN HOTELS
EDENC|EDEN HOTEL COLLECTION
EDINB|EDINBURGH FIRST
EDITU|EDITURA ADEVARUL
EDIZI|EDIZIONE PROPERTY SPA
EFTAL|EFTALIA HOTELS
EHR|THE EMPIRE HOTELS & RESORTS
EIGHT|EIGHT HOTELS GROUP
EIXHO|EIX HOTELS
EIZAS|EIZASA
ELAN|ELAN INN
ELBA|ELBA
ELCID|EL CID RESORTS
ELE|ELEGANCIA
ELECT|ELECTRA HOTELS & RESORTS
ELEGA|ELEGANCE HOTELS
ELEHO|ELEGANT HOTELS GROUP
ELIHO|ELITE HOTEL
ELIRE|ELITE ISLAND RESORT
ELITE|ELITE GROUP INTERNATIONAL
ELIWH|
ELOUN|Elounda S.A Hotels
ELPO|ELPO HOTÉIS
EMERA|EMERAUDE HOTELS
EMIRA|EMIRATES
EMPER|EMPEROR GROUP
EMPOR|EMPORIO
EMSA|EMSA HOTELES
ENCAN|ENCANTO RESORTS
ENCHA|ENCHANTING HOTELS
ENJOY|Enjoy
ENOTE|Enotel
EPIKU|EPIKUREAN
EPOQU|EPOQUE HOTELS
EQUAT|EQUATORIAL HOTELS
ERESI|ERESIN GROUPS HOTEL
EREZA|EREZA
ESCAP|ESCAPADE
ESFR|ES FREUS
ESPAH|ESPAHOTEL
ESPER|ESPERANZA
ESTEL|ESTELAR
ESTPL|ESTANPLAZA
ETAPE|GRANDES ETAPES
ETAST|ETA STAR HOSPITALITY
ETINY|EASTINY GROUP
ETOIL|ETOILE HOTEIS
ETPRE|HOTEL ET PREFRENCES
ETUDE|RESIDE ETUDES APPARTHOTELS
EUDIS|Euro Disney Hotels
EURHO|EURO HOSTEL
EURME|EUROMED
EURO|EURO HOTELS
EUROH|EUROTOURS HOTELS
EUROM|SALLES HOTELS
EUROS|EUROSTARS
EUROT|EUROTEL
EUROX|EUROXENIA
EURPE|EUROPE HOTELS
EURPH|
EVADE|
EVEHO|
EVER|EVERGREEN GROUP
EVERH|
EWYND|EXTRA HOLIDAYS BY WYNDHAM
EXCEL|EXCELLENCE GROUP LUXURY RESORTS
EXCLU|EXCLUSIVE HOTELS
EXEC|EXEC HOTELS & RESORTS
EXEHO|EXE HOTELS
EXHOR|EXHORE
EXINT|EXINTURSA
EXPGR|EXPOGRUPO & RESORT - GRUPO EXPO
EXPLO|EXPLOT CONDOR
EXPRE|Express Lodging
EXTEN|EXTENDED STAY HOTELS
EXTRA|Extraordinary
EXTRE|
F Y P|F & P
FAIRG|FAIR HOUSE RESORTS GROUP
FAIRH|Faircity Hotel Group
FAIRM|FRHI
FALKE|FALKENSTEINER HOTELS & RESORTS
FAME|FAME RESIDENCE HOTELS
FANTA|FANTASIA HOTELES
FARAN|Faranda Hotels
FAREA|FAR EAST SERVICED RESIDENCES
FARIO|GRUPO FARIONES
FASAN|Fasano Hoteis
FATIM|FATIMA HOTELS
FATTA|FATTAL
FCHR|
FDB|FBD Hotels and Resorts
FEATH|A. FEATHER & CO. LTD TRADING AS THE FEATHERS HOTEL
FEH|FAR EAST HOTELS
FEHOI|FEDERAL HOTELS INTERNATIONAL
FELLE|GRUPO FELLER
FENHO|FEN HOTELES
FENIX|HOTEIS FENIX
FERGU|CADENA FERGUS
FERIA|
FERNA|GRUPO FERNANDO BARATA
FERRE|HOTELES FERRER
FETUP|
FGA|FGA APARTMENTS
FGC|
FH|FRASERS HOSPITALITY
FHI|FHI GROUP
FIBRA|
FIMAR|FIMARE
FINCA|
FINES|FINESSE COLLECTION
FIRHO|FIRST HOTEL
FJB|FJB COLLECTION
FLAG|FLAGSHIP HOTELS
FLMGO|FLAMINGO MANAGEMENT SDN BHD
FLOR|FLORIS HOTELS
FLORA|FLORA
FLORE|FLORENCE HOTEL
FLORI|FLORINDA HOTELS INTERNATIONAL
FLYNN|FLYNN HOTELS
FOCUS|FOCUS HOTELS
FONTA|HOTELES FONTAN
FONTE|FONTECRUZ HOTELES
FORGH|FORTUNE GROUP OF HOTELS
FORTH|FORTUNE HOTELS
FOSSH|FOSSHOTEL
FOUNT|FOUNTAIN COURT APARTMENTS
FOUR|FOUR SEASONS
FOURV|Fourviews
FPIH|FPI HOTELS
FRAGR|FRAGRANCE HOTELS
FRANC|FRANCE PATRIMOINE
FRASE|FRASER SUITES
FRONT|FRONTENAC
FSA|FREEDOM SERVICED APARTMENTS
FSH|
FTP|FTP HOTELS
FUERT|FUERTE HOTELES
FURA|FURAMA INTERNATIONALS
FUTUR|FUTURE HOTELS
FXFHI|
FYG|F&G HOTELS
GALA|GALA RESORT
GALER|GALLERY HOTELES
GALOR|Galo Resort Hotels
GALWA|GALWAY
GARAG|GARGALLO
GARBI|HOTELES GARBI
GARDE|GARDEN HOTELS
GARIN|GARDEN INN
GARMI|GARMI HOTELS
GARRI|GARRIGA HOTELS
GARVE|GARVETUR
GASSG|GASSON GROUP
GAVIM|GAVIMAR
GAVIO|GAVIOTA
GCITY|GRAND CITY HOTELS
GDMHL|GUANG DONG (INTL) MANAGEMENT HOLDINGS LTD
GEH|
GEMA|GEMA HOTELES
GENER|GENERATOR HOSTELS
GENT|
GEORF|GEORGE FALCON
GEORG|GEORGE OF COLCHESTER
GERMA|GERMAIN HOTELS
GESTR|GESTREZ GROUP
GFHOT|GF HOTELES
GFTFS|GF Hotels Tenerife
GHL|GHL GRUPO HOTELERO
GHM|GHM (GENERAL HOTEL MANAGEMENT)
GHOTE|GHOTELES
GHOTW|GREAT HOTELS OF THE WORLD
GHT|GHT HOTELS
GIAN|Giannoulis Hotels
GIGLI|GIGLIO HOTELS
GINGE|Ginger Hotels
GIT|GIT HOTELES
GJPHO|GJP HOTEIS E RESORTS
GK|GK RESORTS
GLENE|GLENEAGLES HOTELS LTD
GLHM|GLOBAL INTERNATIONAL HOTEL MANAGEMENT
GLOB|HOTELES GLOBALES
GLOB1|TIARA HOTELS AND RESORTS
GLOBA|BE LIVE
GLOH|GLOBAL HOTELS
GLOHT|GLORIA HOTELS
GLORI|GLORIA THALASSO & HOTELS
GNHOT|
