Id|AirlineCode|AirlineName|AirlineFullName|AirlineType
102|5Z|GONINI AIR SERV|GONINI AIR SERV|
103|6A|AVIACSA|AVIACSA|
104|6B|TUIFLY NORDIC|TUIFLY NORDIC|
105|6C|CAPE SMYTHE AIR SERVICE|CAPE SMYTHE AIR SERVICE|
106|6D|PELITA AIR SERVICE|PELITA AIR SERVICE|
107|6E|INDIGO AIRLINES|INDIGO AIRLINES|
108|6F|AEROTRANS AIRLINES LTD|AEROTRANS AIRLINES LTD|
109|6G|AIR WALES|AIR WALES|
110|6H|ISRAIR AIRLINES|ISRAIR AIRLINES|
111|6J|JUBBA AIRWAYS|JUBBA AIRWAYS|
112|6K|ASIAN SPIRIT|ASIAN SPIRIT|
113|6L|AKLAK AIR|AKLAK AIR|
114|6M|EUROAIR LTD|EUROAIR LTD|
115|6N|NORDIC REGIONAL|NORDIC REGIONAL|
116|6O|AIR SATELLITE|AIR SATELLITE|
117|6P|GRYPHON AIRLINES|GRYPHON AIRLINES|
118|6Q|CHAM WINGS AIRLINES|CHAM WINGS AIRLINES|
119|6R|ALROSA MIRNY AIR ENTERPRISE|ALROSA MIRNY AIR ENTERPRISE|
120|6S|KATO AIR|KATO AIR|
121|6T|AIR MANDALAY|AIR MANDALAY|
122|6U|AIR UKRAINE|AIR UKRAINE|
123|6V|LIGNES AÉRIENNES CONGOLAISES|LIGNES AÉRIENNES CONGOLAISES|
124|6W|SARAVIA SARATOV AIRLINES|SARAVIA SARATOV AIRLINES|
125|6Y|LATCHARTER AIRLINES|LATCHARTER AIRLINES|
126|7A|AIR NEXT|AIR NEXT|
127|7B|KRAS AIR AIRLINES|KRAS AIR AIRLINES|
128|7C|JEJU AIR|JEJU AIR|
129|7D|DONBASSAERO AIRLINES|DONBASSAERO AIRLINES|
130|7E|AEROLINE GMBH|AEROLINE GMBH|
131|7F|FIRST AIR|FIRST AIR|
132|7G|STARFLYER|STARFLYER|
133|7H|CORENDON AIRLINES|CORENDON AIRLINES|
134|7I|INSEL AIR|INSEL AIR|
135|7J|TAJIK AIR|TAJIK AIR|
136|7K|KOGALYMAVIA AIRLINES|KOGALYMAVIA AIRLINES|
137|7L|AEROCARIBBEAN|AEROCARIBBEAN|
138|7M|MAYAIR S.A. DE C.V|MAYAIR S.A. DE C.V|
139|7N|INLAND AVIATION SERVICES|INLAND AVIATION SERVICES|
140|7P|BATAVIA AIR PT METRO|BATAVIA AIR PT METRO|
141|7Q|PAN AMERICAN WORLD AIRWAYS|PAN AMERICAN WORLD AIRWAYS|
142|7R|REDWING AIRWAYS|REDWING AIRWAYS|
143|7S|ARCTIC TRANSPORTATION SERVICES|ARCTIC TRANSPORTATION SERVICES|
144|7T|TRENITALIA|TRENITALIA|
145|7U|AVIAENERGO|AVIAENERGO|
146|7V|FEDERAL AIRLINES PTY LTD|FEDERAL AIRLINES PTY LTD|
147|7W|WIND ROSE AVIATION|WIND ROSE AVIATION|
148|7Y|MID AIRLINES|MID AIRLINES|
149|7Z|HALCYONAIR|HALCYONAIR|
150|8A|ATLAS BLUE|ATLAS BLUE|
151|8C|EAST STAR AIRLINES|EAST STAR AIRLINES|
152|8F|FISCHER AIR|FISCHER AIR|
153|8G|ANGEL AIRLINES|ANGEL AIRLINES|
154|8H|HIGHLAND AIRWAYS LIMITED|HIGHLAND AIRWAYS LIMITED|
155|8J|JETALL|JETALL|
156|8K|ANGEL AIRLINES SA|ANGEL AIRLINES SA|
157|8M|MYANMAR AIRWAYS INTL|MYANMAR AIRWAYS INTL|
158|8P|PACIFIC COASTAL AIRLINES LTD.|PACIFIC COASTAL AIRLINES LTD.|
159|8S|SALAIR|SALAIR|
160|8T|TRAVELAIR|TRAVELAIR|
161|8U|AFRIQIYAH AIRWAYS|AFRIQIYAH AIRWAYS|
162|8Y|AIR BURUNDI|AIR BURUNDI|
163|9A|VISA AIRWAYS PVT LTD|VISA AIRWAYS PVT LTD|
164|9B|DEUTSCHE BAHN AG|DEUTSCHE BAHN AG|
165|9C|SPRING AIRLINES|SPRING AIRLINES|
166|9D|TOUMAÏ AIR TCHAD|TOUMAÏ AIR TCHAD|
167|9E|XL AIRWAYS GERMANY|XL AIRWAYS GERMANY|
168|9F|EUROSTAR|EUROSTAR|
169|9G|PERM AIRLINES|PERM AIRLINES|
170|9H|BONAIRE EXPRESS|BONAIRE EXPRESS|
171|9J|DANA AIR|DANA AIR|
172|9K|CAPE AIR|CAPE AIR|
173|9L|COLGAN AIR|COLGAN AIR|
174|9M|CENTRAL MOUNTAIN AIR|CENTRAL MOUNTAIN AIR|
175|9N|SATENA|SATENA|
176|9P|ATLANTIC AIRLINES|ATLANTIC AIRLINES|
177|9Q|PB AIR|PB AIR|
178|9R|PHUKET AIRLINES|PHUKET AIRLINES|
179|9S|SOUTHERN AIR|SOUTHERN AIR|
180|9T|TRANSWEST AIR|TRANSWEST AIR|
181|9U|AIR MOLDOVA|AIR MOLDOVA|
182|9V|AVIOR AIRLINES|AVIOR AIRLINES|
183|9W|JET AIRWAYS (INDIA)|JET AIRWAYS (INDIA)|
184|9X|NEW AXIS AIRWAYS|NEW AXIS AIRWAYS|
185|A0|L'AVION|L'AVION|
186|A2|ASTRA AIRLINES|ASTRA AIRLINES|
187|A3|AEGEAN AIRLINES|AEGEAN AIRLINES|
188|A4|AEROCON|AEROCON|
189|A5|AIRLINAIR|AIRLINAIR|
190|A6|AIR ALPS AVIATION|AIR ALPS AVIATION|
191|A7|AIR COMET SA|AIR COMET SA|
192|A8|BENIN GOLF AIR|BENIN GOLF AIR|
193|A9|GEORGIAN AIRWAYS|GEORGIAN AIRWAYS|
194|AA|AMERICAN AIRLINES|AMERICAN AIRLINES|
195|AB|AIR BERLIN|AIR BERLIN|
196|AC|AIR CANADA|AIR CANADA|
197|AD|AZUL LINHAS AÉREAS BRASILEIRAS|AZUL LINHAS AÉREAS BRASILEIRAS|
198|AE|MANDARIN AIRLINES|MANDARIN AIRLINES|
199|AF|AIR FRANCE|AIR FRANCE|
200|AG|AIR CONTRACTORS UK|AIR CONTRACTORS UK|
201|AH|AIR ALGERIE|AIR ALGERIE|
202|AI|AIR INDIA|AIR INDIA|
203|AJ|AERO CONTRACTORS|AERO CONTRACTORS|
204|AK|AIRASIA|AIRASIA BERHAD|
205|AM|AEROMÉXICO|AEROMÉXICO|
206|AN|ANSETT AUSTRALIA|ANSETT AUSTRALIA|
207|AO|AVIANOVA LCC|AVIANOVA LCC|
208|AP|AIR ONE|AIR ONE|
209|AQ|ALOHA AIRLINES|ALOHA AIRLINES|
210|AR|AEROLINEAS ARGENTINAS S.A.|AEROLINEAS ARGENTINAS S.A.|
211|AS|ALASKA AIRLINES|ALASKA AIRLINES|
212|AT|ROYAL AIR MAROC|ROYAL AIR MAROC|
213|AU|AUSTRAL LINEAS AÉREAS|AUSTRAL LINEAS AÉREAS|
214|AV|AVIANCA|AVIANCA|
215|AW|DIRGANTARA AIR SERVICES|DIRGANTARA AIR SERVICES|
216|AX|TRANS STATES AIRLINES|TRANS STATES AIRLINES|
217|AY|FINNAIR|FINNAIR|
218|AZ|ALITALIA LINEE AEREE ITALIANE|ALITALIA LINEE AEREE ITALIANE|
219|B2|BELAVIA - BELARUSIAN AIRLINES|BELAVIA - BELARUSIAN AIRLINES|
220|B3|BELLVIEW AIRLINES|BELLVIEW AIRLINES|
221|B4|ZANAIR|ZANAIR|
222|B5|EAST AFRICAN SAFARI AIR|EAST AFRICAN SAFARI AIR|
223|B6|JETBLUE AIRWAYS|JETBLUE AIRWAYS|
224|B7|UNI AIRWAYS|UNI AIRWAYS|
225|B8|ERITREAN AIRLINES|ERITREAN AIRLINES|
226|B9|IRAN AIR TOURS|IRAN AIR TOURS|
227|BA|BRITISH AIRWAYS|BRITISH AIRWAYS|
228|BB|SEABORNES AIRLINES|SEABORNES AIRLINES|
229|BC|SKYMARK AIRLINES|SKYMARK AIRLINES|
230|BD|BMI BRITISH MIDLAND|BMI BRITISH MIDLAND|
231|BE|FLYBE|FLYBE|
232|BF|VINCENT AVIATION|VINCENT AVIATION|
233|BG|BIMAN BANGLADESH AIRLINES|BIMAN BANGLADESH AIRLINES|
234|BH|HAWKAIR AVIATION|HAWKAIR AVIATION|
235|BI|ROYAL BRUNEI AIRLINES|ROYAL BRUNEI AIRLINES|
236|BJ|NOUVELAIR TUNISIE|NOUVELAIR TUNISIE|
237|BK|POTOMAC AIR/US AIRWAYS EXPRESS|POTOMAC AIR/US AIRWAYS EXPRESS|
238|BL|JETSTAR PACIFIC AIRLINES|JETSTAR PACIFIC AIRLINES|
239|BM|BAYU INDONESIA|BAYU INDONESIA|
240|BN|BAHRAIN AIR|BAHRAIN AIR|
241|BO|BOURAQ AIRLINES|BOURAQ AIRLINES|
242|BP|AIR BOTSWANA|AIR BOTSWANA|
243|BQ|AEROMAR C. POR. A.|AEROMAR C. POR. A.|
244|BR|EVA AIRWAYS|EVA AIRWAYS|
245|BS|BRITISH INTERNATIONAL HELICOPTERS|BRITISH INTERNATIONAL HELICOPTERS|
246|BT|AIR BALTIC|AIR BALTIC|
247|BU|SAS NORGE|SAS NORGE|
248|BV|BLU-EXPRESS|BLU-EXPRESS|
249|BW|CARIBBEAN AIRWAYS|CARIBBEAN AIRWAYS|
250|BX|AIR BUSAN|AIR BUSAN|
251|BY|THOMSONFLY|THOMSONFLY|
252|BZ|BLUE BIRD AVIATION|BLUE BIRD AVIATION|
253|C0|CENTRALWINGS|CENTRALWINGS|
254|C2|AIR LUXOR STP|AIR LUXOR STP|
255|C3|CONTACT AIR|CONTACT AIR|
